"Device Details","Price","Ratings"
"APPLE iPhone 11 (Red, 64 GB)","?48,999","56,583"
"Apple iPhone SE (White, 128 GB) (Includes EarPods, Power Adapter)","?33,999","1,00,628"
"Apple iPhone XR (Black, 64 GB) (Includes EarPods, Power Adapter)","?36,999","83,399"
"Apple iPhone XR ((PRODUCT)RED, 64 GB) (Includes EarPods, Power Adapter)","?36,999","83,399"
"APPLE iPhone SE (Red, 64 GB)","?30,999","1,00,628"
"Apple iPhone XR (Blue, 64 GB) (Includes EarPods, Power Adapter)","?36,999","83,399"
"Apple iPhone SE (Red, 128 GB) (Includes EarPods, Power Adapter)","?33,999","1,00,628"
"APPLE iPhone XR (Black, 64 GB)","?36,999","83,399"
"APPLE iPhone SE (Black, 64 GB)","?30,999","1,00,628"
"APPLE iPhone SE (White, 64 GB)","?30,999","1,00,628"
"APPLE iPhone SE (Black, 128 GB)","?33,999","1,00,628"
"APPLE iPhone SE (White, 128 GB)","?33,999","1,00,628"
"APPLE iPhone SE (Red, 128 GB)","?33,999","1,00,628"
